fotograma,tipo_objeto,confianza,id_tracking,x1,y1,x2,y2,matricula_en_su_caso,conf_matricula,mx1,my1,mx2,my2,texto_matricula
95,matricula,0.7706713080406189,95,997,821,1110,856,True,0.7706713080406189,997,821,1110,856,1}f {H4
96,matricula,0.4170824885368347,96,990,822,1095,855,True,0.4170824885368347,990,822,1095,855,Ys( !h: 49)#
97,matricula,0.5591832995414734,97,978,822,1090,855,True,0.5591832995414734,978,822,1090,855,8f :Hh; 2'
98,matricula,0.4952409863471985,98,970,823,1073,855,True,0.4952409863471985,970,823,1073,855,Fr ?hka!nh
100,matricula,0.5550602078437805,100,953,820,1051,850,True,0.5550602078437805,953,820,1051,850,"M"" :"
101,matricula,0.31680771708488464,101,940,820,1045,850,True,0.31680771708488464,940,820,1045,850,H4: 2 nF
102,matricula,0.4564552307128906,102,932,822,1038,849,True,0.4564552307128906,932,822,1038,849,LaG;k6a494
103,matricula,0.5388348698616028,103,929,820,1024,846,True,0.5388348698616028,929,820,1024,846,"K6 , ~"
104,matricula,0.49341216683387756,104,918,819,1019,845,True,0.49341216683387756,918,819,1019,845,
105,matricula,0.41902366280555725,105,909,818,1010,846,True,0.41902366280555725,909,818,1010,846,
106,matricula,0.25850847363471985,106,903,819,997,845,True,0.25850847363471985,903,819,997,845,
107,matricula,0.3874616026878357,107,893,817,994,845,True,0.3874616026878357,893,817,994,845,
108,matricula,0.3150136470794678,108,888,818,982,845,True,0.3150136470794678,888,818,982,845,
109,matricula,0.2926086187362671,109,881,816,975,845,True,0.2926086187362671,881,816,975,845,
110,matricula,0.788216769695282,110,1830,836,1918,907,True,0.788216769695282,1830,836,1918,907,AR
110,matricula,0.3631649315357208,110,877,816,976,845,True,0.3631649315357208,877,816,976,845,
111,matricula,0.9153209328651428,111,1774,833,1919,898,True,0.9153209328651428,1774,833,1919,898,ARSTT
111,matricula,0.2737596929073334,111,864,817,959,844,True,0.2737596929073334,864,817,959,844,
112,matricula,0.8253402709960938,112,1726,827,1920,892,True,0.8253402709960938,1726,827,1920,892,Rt12s
113,matricula,0.7893293499946594,113,1674,825,1920,889,True,0.7893293499946594,1674,825,1920,889,8R3779919
114,matricula,0.9527079463005066,114,1629,825,1885,888,True,0.9527079463005066,1629,825,1885,888,RR3F7237919
115,matricula,0.955287754535675,115,1589,824,1831,880,True,0.955287754535675,1589,824,1831,880,R37Z9979
115,matricula,0.6154322624206543,115,1856,427,1920,482,True,0.6154322624206543,1856,427,1920,482,PTER
116,matricula,0.9727654457092285,116,1550,823,1786,877,True,0.9727654457092285,1550,823,1786,877,AR31T23919
116,matricula,0.6123814582824707,116,1856,426,1920,482,True,0.6123814582824707,1856,426,1920,482,FTER
116,matricula,0.25731831789016724,116,687,925,716,955,True,0.25731831789016724,687,925,716,955,
117,matricula,0.9574723839759827,117,1510,820,1741,875,True,0.9574723839759827,1510,820,1741,875,KR57723919
117,matricula,0.4070208966732025,117,1857,427,1920,483,True,0.4070208966732025,1857,427,1920,483,PTER
118,matricula,0.9636186957359314,118,1481,820,1699,873,True,0.9636186957359314,1481,820,1699,873,Kr3}TTI23919
118,matricula,0.32197505235671997,118,1857,426,1920,483,True,0.32197505235671997,1857,426,1920,483,TER
119,matricula,0.9773208498954773,119,1452,820,1660,868,True,0.9773208498954773,1452,820,1660,868,HR5TZ3919
119,matricula,0.3745364546775818,119,1857,425,1920,483,True,0.3745364546775818,1857,425,1920,483,PETER
120,matricula,0.9719753265380859,120,1415,820,1627,868,True,0.9719753265380859,1415,820,1627,868,'Ki31i2s99
120,matricula,0.3380574882030487,120,1857,424,1920,483,True,0.3380574882030487,1857,424,1920,483,FTER
121,matricula,0.9257621765136719,121,1390,820,1590,867,True,0.9257621765136719,1390,820,1590,867,'KR3Tz3979
121,matricula,0.2855828106403351,121,1857,424,1920,484,True,0.2855828106403351,1857,424,1920,484,RTER
122,matricula,0.9417189359664917,122,1360,821,1564,867,True,0.9417189359664917,1360,821,1564,867,'M15fi73979
122,matricula,0.28774476051330566,122,1857,423,1920,484,True,0.28774476051330566,1857,423,1920,484,PETER
123,matricula,0.8300424218177795,123,1337,821,1534,866,True,0.8300424218177795,1337,821,1534,866,'KR5f[123979
123,matricula,0.31115472316741943,123,1857,425,1920,485,True,0.31115472316741943,1857,425,1920,485,TER
124,matricula,0.9315147399902344,124,1310,821,1501,864,True,0.9315147399902344,1310,821,1501,864,'KR5S[i7s99
124,matricula,0.3734256327152252,124,1857,425,1920,485,True,0.3734256327152252,1857,425,1920,485,FTER
125,matricula,0.8852811455726624,125,1295,817,1474,861,True,0.8852811455726624,1295,817,1474,861,HRSTTi23919
125,matricula,0.2929389774799347,125,1856,425,1920,485,True,0.2929389774799347,1856,425,1920,485,ATER
126,matricula,0.7685568332672119,126,1264,819,1449,860,True,0.7685568332672119,1264,819,1449,860,'H3[sng
126,matricula,0.38538822531700134,126,1856,424,1920,485,True,0.38538822531700134,1856,424,1920,485,GTER
127,matricula,0.8334879875183105,127,1249,816,1424,859,True,0.8334879875183105,1249,816,1424,859,AR5Ti7s979
127,matricula,0.5183009505271912,127,1856,427,1920,484,True,0.5183009505271912,1856,427,1920,484,PTER
128,matricula,0.8701308965682983,128,1229,817,1399,857,True,0.8701308965682983,1229,817,1399,857,'HR5Tš9T9
128,matricula,0.5273284912109375,128,1855,427,1920,484,True,0.5273284912109375,1855,427,1920,484,PTER
129,matricula,0.8607994914054871,129,1211,817,1377,857,True,0.8607994914054871,1211,817,1377,857,KRST12J919
129,matricula,0.542627215385437,129,1853,424,1920,485,True,0.542627215385437,1853,424,1920,485,GTER
130,matricula,0.7941591739654541,130,1201,815,1357,856,True,0.7941591739654541,1201,815,1357,856,HRS71Z3919
130,matricula,0.5420644283294678,130,1853,423,1920,486,True,0.5420644283294678,1853,423,1920,486,PTER
130,matricula,0.2889474928379059,130,379,888,424,921,True,0.2889474928379059,379,888,424,921,
131,matricula,0.7733340263366699,131,1181,815,1340,854,True,0.7733340263366699,1181,815,1340,854,KR5T723919
131,matricula,0.5606849193572998,131,1853,425,1920,486,True,0.5606849193572998,1853,425,1920,486,GTER
132,matricula,0.843661904335022,132,1160,814,1322,853,True,0.843661904335022,1160,814,1322,853,HR5T1ZJ919
132,matricula,0.5529211759567261,132,1853,426,1920,486,True,0.5529211759567261,1853,426,1920,486,PTER
133,matricula,0.8547472953796387,133,1154,814,1302,851,True,0.8547472953796387,1154,814,1302,851,HR5T239D9
133,matricula,0.5306662321090698,133,1853,425,1920,486,True,0.5306662321090698,1853,425,1920,486,GTER
134,matricula,0.7936482429504395,134,1133,815,1281,852,True,0.7936482429504395,1133,815,1281,852,KR57zJ919
134,matricula,0.5634143352508545,134,1853,426,1920,486,True,0.5634143352508545,1853,426,1920,486,RTER
135,matricula,0.8947123289108276,135,1115,815,1262,851,True,0.8947123289108276,1115,815,1262,851,HR57lzs9 19
135,matricula,0.6291170716285706,135,1853,426,1920,486,True,0.6291170716285706,1853,426,1920,486,GTER
136,matricula,0.6686313152313232,136,1102,817,1250,851,True,0.6686313152313232,1102,817,1250,851,HR5tñ91g
136,matricula,0.6234967112541199,136,1853,426,1920,487,True,0.6234967112541199,1853,426,1920,487,FTER
137,matricula,0.6580323576927185,137,1853,429,1920,486,True,0.6580323576927185,1853,429,1920,486,PTER
137,matricula,0.5831725597381592,137,1089,816,1232,851,True,0.5831725597381592,1089,816,1232,851,HR5TIs979
